Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Adjusted_User_score
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,, 
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,Rockstar North,M,83
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,E,43
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,, 
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,Sledgehammer Games,M,57
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41,5,398,"EA Sports, EA Vancouver",E,50
Call of Duty: Black Ops 3,Xbox One,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,, 
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,Bethesda Game Studios,M,65
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,Nintendo,E,91
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,EA Sports,E,57
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T,61
Grand Theft Auto V,Xbox One,2014,Action,Take-Two Interactive,2.81,2.19,0,0.47,5.48,97,14,7.9,764,Rockstar North,M,79
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Naughty Dog,T,79
Call of Duty: Advanced Warfare,Xbox One,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,Sledgehammer Games,M,54
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo,E,81
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87,,,,,,, 
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.88,2,0.07,0.77,4.71,,,,,,, 
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,Bluepoint Games,T,81
Halo 5: Guardians,Xbox One,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84,101,6.4,2438,343 Industries,T,64
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2,0.15,0.71,4.46,77,82,3.4,1129,Infinity Ward,M,34
Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81,88,8.5,1184,Nintendo,E10+,85
Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77,61,7.9,471,Nintendo,E10+,79
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93,83,9,1607,Nintendo,E,90
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32,,,,,,, 
Fallout 4,Xbox One,2015,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88,39,6.2,1749,Bethesda Game Studios,M,62
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88,31,8.4,809,EA DICE,M,84
Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,80,80,6.3,2996,Ubisoft Montreal,M,63
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85,83,7.7,1653,Ubisoft Montreal,M,77
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,92
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M,49
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87,89,7.6,2679,Rocksteady Studios,M,76
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87,51,6.7,364,Visual Concepts,E10+,67
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,78,49,3.7,1564,Infinity Ward,M,37
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8,80,64,7,2219,Massive Entertainment,M,70
Star Wars Battlefront (2015),Xbox One,2015,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66,,,,,,, 
Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85,18,6.9,1580,EA DICE,M,69
Assassin's Creed: Unity,Xbox One,2014,Action,Ubisoft,2.27,0.9,0,0.33,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M,41
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93,86,8.2,3943,"Kojima Productions, Moby Dick Studio",M,82
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76,86,6.8,1319,Ubisoft Quebec,M,68
Destiny,Xbox One,2014,Shooter,Activision,2.14,0.92,0,0.31,3.37,75,11,5.5,1735,"Bungie Software, Bungie",T,55
Gears of War: Ultimate Edition,Xbox One,2015,Shooter,Microsoft Game Studios,2.61,0.33,0,0.34,3.28,82,74,7.5,563,"Splash Damage, The Coalition",M,75
FIFA 16,Xbox One,2015,Sports,Electronic Arts,0.89,2.12,0,0.24,3.25,84,45,4.4,459,EA Sports,E,44
Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.34,0.3,0,0.6,3.24,83,37,5.9,180,EA Sports,E,59
Halo: The Master Chief Collection,Xbox One,2014,Shooter,Microsoft Game Studios,1.91,1,0.03,0.29,3.23,85,69,7.2,1267,343 Industries,M,72
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88,85,8.7,691,Nintendo,E,87
FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,1.85,0.11,0.44,3.01,87,26,6.3,616,EA Canada,E,63
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,0.47,2.96,84,85,8.1,1886,Monolith Productions,M,81
Titanfall,Xbox One,2014,Shooter,Electronic Arts,1.84,0.8,0.04,0.27,2.95,86,68,6.4,2658,Respawn Entertainment,M,64
Call of Duty: Ghosts,Xbox One,2013,Shooter,Activision,1.88,0.77,0,0.27,2.92,78,7,4.3,700,Infinity Ward,M,43
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,83,29,7.8,1530,Ubisoft,M,78
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.28,0.98,0.07,0.46,2.79,80,90,7.9,2944,Sucker Punch,T,79
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,0,0.48,2.78,83,81,7.7,836,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M,77
Minecraft,Xbox One,2014,Misc,Microsoft Game Studios,1.61,0.9,0,0.25,2.76,,,,,,, 
Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,0.89,1.33,0.08,0.39,2.69,73,88,6.8,2102,Guerrilla,M,68
FIFA 17,Xbox One,2016,Sports,Electronic Arts,0.43,2.05,0,0.17,2.65,84,50,5.5,201,"EA Sports, EA Vancouver",E,55
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92,100,8.6,6383,From Software,M,86
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.45,83,50,7,291,Visual Concepts,E,70
Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.5,1.5,0.05,0.37,2.43,,,,,,, 
Call of Duty: Infinite Warfare,Xbox One,2016,Shooter,Activision,1.46,0.74,0,0.22,2.42,78,17,3.1,290,Infinity Ward,M,31
Madden NFL 16,Xbox One,2015,Sports,Electronic Arts,2.08,0.08,0,0.26,2.42,84,23,6.1,124,EA Sports,E,61
NBA 2K16,Xbox One,2015,Sports,Take-Two Interactive,1.95,0.15,0,0.24,2.34,86,14,6.2,115,Visual Concepts,E10+,62
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26,76,91,6.3,635,Ubisoft Montreal,M,63
Battlefield 1,Xbox One,2016,Shooter,Electronic Arts,1.28,0.77,0,0.2,2.25,87,37,8.2,440,EA DICE,M,82
New Super Luigi U,WiiU,2013,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77,59,7.9,288,Nintendo,E,79
Assassin's Creed IV: Black Flag,Xbox One,2013,Action,Ubisoft,1.48,0.55,0,0.21,2.23,,,7.4,355,Ubisoft,M,74
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.55,1.19,0.14,0.33,2.21,73,40,7.3,480,Ubisoft Montreal,M,73
Forza Motorsport 5,Xbox One,2013,Racing,Microsoft Game Studios,1.21,0.79,0.01,0.19,2.2,79,76,5.9,1095,Turn 10,E,59
Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.54,0.25,0,0.4,2.19,81,37,6.1,208,EA Sports,E,61
FIFA 15,Xbox One,2014,Sports,Electronic Arts,0.6,1.42,0,0.16,2.18,82,33,5.4,347,EA Sports,E,54
Tom Clancy's The Division,Xbox One,2016,Shooter,Ubisoft,1.29,0.68,0,0.2,2.16,80,33,6.9,614,Massive Entertainment,M,69
Overwatch,PS4,2016,Shooter,Activision,0.81,0.85,0.15,0.33,2.14,90,31,6.1,1358,Blizzard Entertainment,T,61
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1,73,46,5,845,Visceral Games,M,50
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74,58,7.9,1287,Techland,M,79
DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.36,1.38,0.02,0.31,2.07,71,85,6.1,1571,Evolution Studios,E,61
Battlefield 4,Xbox One,2013,Shooter,Electronic Arts,1.25,0.58,0,0.19,2.02,81,5,6.6,480,EA DICE,M,66
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,89,43,7.4,1984,BioWare,M,74
Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,0.73,0.92,0.03,0.3,1.98,80,53,6.2,667,Ghost Games,E10+,62
Destiny: The Taken King,PS4,2015,Shooter,Activision,0.78,0.79,0.04,0.31,1.93,86,81,6,1079,Bungie,T,60
LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.66,0.93,0.01,0.31,1.91,79,78,7.1,506,Sumo Digital,E,71
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88,88,47,6.7,162,Visual Concepts,E,67
Just Cause 3,PS4,2015,Action,Square Enix,0.47,1.03,0.07,0.28,1.86,73,42,6.5,403,Avalanche Studios,M,65
Diablo III,PS4,2014,Role-Playing,Activision,0.51,0.98,0.06,0.28,1.82,,,,,Blizzard Entertainment,M, 
Mafia III,PS4,2016,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68,66,5.1,1147,Hangar 13,M,51
Forza Motorsport 6,Xbox One,2015,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87,85,7.9,863,Turn 10,E,79
The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75,65,7.3,1223,Tango Gameworks,M,73
The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,0.92,0.6,0.14,0.14,1.79,,,,,,, 
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.25,0.17,0,0.32,1.75,82,35,4.9,83,EA Sports,E,49
The Elder Scrolls Online,PS4,2015,Role-Playing,Bethesda Softworks,0.67,0.79,0,0.29,1.75,,,,,,, 
Wii Party U,WiiU,2013,Misc,Nintendo,0.3,0.56,0.84,0.05,1.75,65,38,6.8,135,Nd Cube,E,68
The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74,63,94,6.6,3172,"Ready at Dawn, SCE Santa Monica",M,66
Knack,PS4,2013,Platform,Sony Computer Entertainment Europe,0.43,0.68,0.42,0.2,1.73,54,83,6.5,1074,SCE Japan Studio,E10+,65
The Crew,PS4,2014,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72,61,60,5.4,575,"Ubisoft Reflections, Ivory Tower",T,54
NBA 2K15,Xbox One,2014,Sports,Take-Two Interactive,1.37,0.18,0,0.18,1.72,82,9,6.3,101,Visual Concepts,E,63
No Man's Sky,PS4,2016,Action,Hello Games,0.63,0.76,0.03,0.27,1.7,71,94,4.5,5096,Hello Games,T,45
Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79,103,8.2,2161,SuperMassive Games,M,82
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89,69,8.8,1940,From Software,M,88
Far Cry 4,Xbox One,2014,Shooter,Ubisoft,0.8,0.69,0.01,0.14,1.63,82,15,7.5,383,Ubisoft Montreal,M,75
LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.76,0.01,0.26,1.62,83,22,7.7,262,TT Games,E10+,77
Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.53,0.24,0.12,1.58,66,66,6.5,279,"Nintendo, Nd Cube",E,65
Dead Rising 3,Xbox One,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78,69,6.8,908,Capcom Vancouver,M,68
Watch Dogs,Xbox One,2014,Action,Ubisoft,0.9,0.53,0,0.14,1.57,78,15,5.8,712,Ubisoft Montreal,M,58
Madden NFL 15,Xbox One,2014,Sports,Electronic Arts,1.31,0.09,0,0.16,1.57,80,19,6.4,138,EA Sports,E,64
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.24,1.55,79,73,8.1,1116,MachineGames,M,81
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.5,0.76,0.04,0.24,1.54,,,,,,, 
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.7,0.55,0.16,0.12,1.52,83,77,8.9,712,Retro Studios,E,89
Batman: Arkham Knight,Xbox One,2015,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0,0.14,1.49,85,16,6.6,694,Rocksteady Studios,M,66
Doom (2016),PS4,2016,Shooter,Bethesda Softworks,0.54,0.69,0.02,0.24,1.49,,,,,,, 
NBA 2K14,PS4,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.23,1.45,85,20,6.5,368,Visual Concepts,E,65
Tomb Raider (2013),PS4,2014,Action,Square Enix,0.47,0.65,0.06,0.22,1.4,,,,,,, 
Forza Horizon 2,Xbox One,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,86,85,8.2,977,Playground Games,E10+,82
Ryse: Son of Rome,Xbox One,2013,Action,Microsoft Game Studios,0.83,0.43,0,0.13,1.38,60,77,6.1,1409,Crytek,M,61
Mortal Kombat X,Xbox One,2015,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0,0.14,1.38,86,21,7.3,279,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M,73
Rise of the Tomb Raider,Xbox One,2015,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86,102,8,1288,Crystal Dynamics,M,80
Middle-Earth: Shadow of Mordor,Xbox One,2014,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,87,12,8,585,Monolith Productions,M,80
Gears of War 4,Xbox One,2016,Shooter,Microsoft Game Studios,0.78,0.44,0,0.12,1.35,84,96,6.2,815,The Coalition,M,62
Tom Clancy's Rainbow Six: Siege,Xbox One,2015,Shooter,Ubisoft,0.77,0.45,0,0.12,1.34,74,24,6.9,252,Ubisoft Montreal,M,69
The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,,,,,,, 
The Witcher 3: Wild Hunt,Xbox One,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0,0.11,1.31,91,13,9.2,3963,CD Projekt Red Studio,M,92
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78,83,8.5,376,Good-Feel,E,85
Assassin's Creed Syndicate,Xbox One,2015,Action,Ubisoft,0.62,0.56,0,0.11,1.3,78,22,6.1,402,Ubisoft Quebec,M,61
Dying Light,Xbox One,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74,26,7.8,387,Techland,M,78
The Elder Scrolls Online,Xbox One,2015,Role-Playing,Bethesda Softworks,0.78,0.38,0,0.12,1.28,77,11,8.4,613,ZeniMax Media,M,84
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75,70,6.2,1311,Kojima Productions,M,62
Madden NFL 17,Xbox One,2016,Sports,Electronic Arts,1.08,0.02,0,0.13,1.23,83,30,5.9,39,EA Sports,E,59
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,0.1,1.23,76,81,8.3,662,Omega Force,T,83
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.2,1.21,73,47,7.4,237,Yuke's,T,74
Battlefield: Hardline,Xbox One,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,71,27,5.1,299,Visceral Games,M,51
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.53,0.38,0.19,0.09,1.19,81,78,8.6,377,Nintendo EAD Tokyo,E,86
Destiny: The Taken King,Xbox One,2015,Shooter,Activision,0.85,0.23,0,0.12,1.19,89,11,5.2,393,"Bungie Software, Bungie",T,52
Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.36,0.59,0.04,0.18,1.17,,,,,,, 
FIFA 14,Xbox One,2013,Sports,Electronic Arts,0.41,0.66,0,0.09,1.16,88,22,5.8,328,EA Canada,E,58
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.39,0.57,0,0.19,1.15,62,44,5.1,164,Yuke's,T,51
Sunset Overdrive,Xbox One,2014,Shooter,Microsoft Game Studios,0.63,0.4,0,0.1,1.14,81,89,7.7,1137,Insomniac Games,M,77
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,79,60,8.2,201,CyberConnect2,T,82
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0,0.18,1.13,83,88,7.8,621,Ubisoft Montreal,M,78
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79,50,8.1,795,Creative Assembly,M,81
Pikmin 3,WiiU,2013,Strategy,Nintendo,0.44,0.32,0.29,0.07,1.11,87,79,8.7,664,Nintendo,E10+,87
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11,69,50,7.7,598,Dimps Corporation,T,77
LEGO City Undercover,WiiU,2013,Platform,Nintendo,0.47,0.42,0.13,0.08,1.1,80,66,8.2,283,TT Games,E10+,82
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09,83,37,6.6,363,Slightly Mad Studios,E,66
Forza Horizon 3,Xbox One,2016,Racing,Microsoft Game Studios,0.42,0.58,0,0.08,1.08,91,90,7.4,594,Playground Games,E,74
Overwatch,Xbox One,2016,Shooter,Activision,0.63,0.33,0,0.1,1.06,91,18,5.6,668,Blizzard Entertainment,T,56
LEGO Marvel Super Heroes,Xbox One,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.35,0,0.09,1.06,,,6.8,73,TT Games,E10+,68
EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05,70,57,6.1,279,EA Sports,T,61
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.56,0.3,0.08,0.09,1.03,86,74,8.4,329,"Tantalus Interactive, Tantatus, Nintendo",T,84
NBA 2K17,Xbox One,2016,Sports,Take-Two Interactive,0.86,0.06,0,0.11,1.02,90,17,6.2,91,Visual Concepts,E,62
