Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Adjusted_User_score
Rayman Legends,PS4,2014,Platform,Ubisoft,0.22,0.64,0,0.16,1.01,90,16,8.5,525,Ubisoft Montpellier,E10+,85
ZombiU,WiiU,2012,Action,Ubisoft,0.52,0.36,0.05,0.08,1.01,77,70,7.7,758,Ubisoft Montpellier,M,77
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,0.08,1.01,76,74,8,273,Bandai Namco Games,E10+,80
Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.98,,,,,,, 
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96,76,46,4.3,894,Turtle Rock Studios,M,43
Rise of the Tomb Raider,PS4,2016,Adventure,Square Enix,0.23,0.53,0.04,0.14,0.94,,,,,,, 
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.29,0.49,0,0.15,0.93,79,38,6.2,157,EA Sports,T,62
Dragon Age: Inquisition,Xbox One,2014,Role-Playing,Electronic Arts,0.56,0.28,0,0.09,0.93,85,28,6.9,703,BioWare,M,69
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0,0.15,0.93,73,43,7.1,75,TT Games,E10+,71
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.68,0.08,0,0.17,0.92,80,44,7.8,190,SCEA San Diego Studios,E,78
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.3,0,0.16,0.91,,,,,,, 
NBA 2K14,Xbox One,2013,Sports,Take-Two Interactive,0.7,0.11,0,0.09,0.91,86,15,5.7,183,Visual Concepts,E,57
Street Fighter V,PS4,2016,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9,77,80,3.4,1221,Capcom,T,34
Just Cause 3,Xbox One,2015,Action,Square Enix,0.44,0.39,0,0.08,0.9,71,24,7,186,Avalanche Studios,M,70
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9,70,46,7,80,TT Games,E10+,70
Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.63,0.13,0,0.15,0.9,74,13,5.2,118,EA Sports,E,52
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.72,0,0,0.17,0.89,,,,,,, 
Far Cry: Primal,Xbox One,2016,Action,Ubisoft,0.47,0.33,0,0.08,0.88,77,27,6.4,194,Ubisoft Montreal,M,64
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82,49,7.8,345,Gearbox Software,M,78
Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0,0.14,0.86,80,69,6.2,160,FreeStyleGames,T,62
Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72,19,7.7,72,Nintendo,E,77
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84,87,8.9,1548,Monolith Soft,T,89
Thief (2014),PS4,2014,Action,Square Enix,0.28,0.38,0.03,0.13,0.82,,,,,,, 
Madden NFL 25,Xbox One,2013,Sports,Electronic Arts,0.67,0.05,0,0.08,0.81,73,18,5.9,111,EA Sports,E,59
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.79,87,54,7.1,680,Konami,E,71
Rare Replay,Xbox One,2015,Misc,Microsoft Game Studios,0.49,0.22,0.01,0.07,0.79,84,75,7.7,325,Rare Ltd.,M,77
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013,Sports,Nintendo,0.37,0.22,0.13,0.06,0.78,,,,,,, 
Bayonetta 2,WiiU,2014,Action,Nintendo,0.32,0.28,0.1,0.06,0.76,91,80,8.2,1217,PlatinumGames,M,82
Doom (2016),Xbox One,2016,Shooter,Bethesda Softworks,0.44,0.25,0,0.07,0.76,,,,,,, 
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75,89,56,8.4,704,Respawn Entertainment,M,84
Metal Gear Solid V: The Phantom Pain,Xbox One,2015,Action,Konami Digital Entertainment,0.41,0.26,0.01,0.07,0.75,95,10,7.3,900,"Kojima Productions, Moby Dick Studio",M,73
Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.11,0.1,0.75,82,56,7.2,386,Konami,E,72
Final Fantasy XIV: A Realm Reborn,PS4,2014,Role-Playing,Square Enix,0.33,0.23,0.08,0.11,0.75,,,,,,, 
Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.29,0.27,0.06,0.11,0.74,,,,,,, 
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Action,Square Enix,0.17,0.13,0.37,0.06,0.74,,,,,,, 
The Elder Scrolls V: Skyrim,Xbox One,2016,Role-Playing,Bethesda Softworks,0.41,0.27,0,0.07,0.74,,,,,,, 
LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82,8,8,71,TT Games,E10+,80
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0,0.12,0.73,71,70,7,87,TT Games,E10+,70
Just Dance 2015,WiiU,2014,Misc,Ubisoft,0.38,0.29,0,0.06,0.73,75,6,6.6,26,Ubisoft,E10+,66
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0,0.12,0.73,80,53,7.1,65,Traveller's Tales,E10+,71
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0,0,0.14,0.72,83,17,7.7,205,SCEA San Diego Studios,E,77
Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.24,0.37,0,0.12,0.72,,,,,,, 
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73,54,7.8,117,Dimps Corporation,T,78
Skylanders: Trap Team,WiiU,2014,Action,Activision,0.38,0.26,0,0.06,0.7,86,4,7.1,18,Toys for Bob,E10+,71
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,78,61,7.5,91,TT Games,E10+,75
Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.25,0.33,0,0.11,0.69,,,,,,, 
Monster Hunter Tri,WiiU,2012,Role-Playing,Nintendo,0.24,0.19,0.22,0.04,0.69,,,,,,, 
Need for Speed (2015),Xbox One,2015,Racing,Electronic Arts,0.3,0.33,0,0.06,0.69,,,,,,, 
Plants vs. Zombies: Garden Warfare,Xbox One,2014,Shooter,Electronic Arts,0.39,0.23,0,0.06,0.69,76,65,7.4,438,PopCap,E10+,74
Need for Speed Rivals,Xbox One,2013,Racing,Electronic Arts,0.46,0.17,0,0.07,0.69,75,18,5.8,175,Ghost Games,E10+,58
Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,,,,,,, 
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0.34,0,0.11,0.68,67,41,7.1,178,Rebellion,M,71
Wolfenstein: The New Order,Xbox One,2014,Shooter,Bethesda Softworks,0.34,0.28,0,0.06,0.68,79,18,7.8,397,MachineGames,M,78
The Evil Within,Xbox One,2014,Action,Bethesda Softworks,0.35,0.25,0,0.06,0.67,79,24,7.3,430,Tango Gameworks,M,73
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71,31,7.1,98,TT Games,E10+,71
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65,46,6.3,43,Codemasters,E,63
Diablo III,Xbox One,2014,Role-Playing,Activision,0.36,0.24,0,0.06,0.66,,,,,,, 
Metro: Last Light,PS4,2014,Action,Deep Silver,0.22,0.3,0.04,0.1,0.66,,,,,,, 
Rayman Legends,WiiU,2013,Platform,Ubisoft,0.25,0.33,0.03,0.05,0.66,92,35,8.7,465,Ubisoft Montpellier,E10+,87
LEGO Jurassic World,Xbox One,2015,Action,Warner Bros. Interactive Entertainment,0.38,0.22,0,0.06,0.65,70,17,6.7,44,TT Games,E10+,67
Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,Action,Disney Interactive Studios,0.37,0.22,0,0.06,0.65,,,,,,, 
God of War III,PS4,2015,Action,Sony Computer Entertainment,0.24,0.29,0.01,0.1,0.65,,,,,,, 
The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.23,0.03,0.05,0.64,68,5,7.7,25,TT Games,E10+,77
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.22,0.32,0,0.1,0.64,88,56,7.7,569,Arkane Studios,M,77
The Crew,Xbox One,2014,Racing,Ubisoft,0.25,0.34,0,0.05,0.64,64,18,5.9,176,"Ubisoft Reflections, Ivory Tower",T,59
Evolve,Xbox One,2015,Shooter,Take-Two Interactive,0.37,0.2,0,0.06,0.64,74,31,5.1,336,Turtle Rock Studios,M,51
Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.35,0.17,0,0.11,0.63,,,,,,, 
NHL 16,PS4,2015,Sports,Electronic Arts,0.36,0.16,0,0.11,0.63,78,28,5.5,157,"EA Sports, EA Canada",E10+,55
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.27,0.25,0,0.1,0.62,,,,,,, 
Mafia III,Xbox One,2016,Action,Take-Two Interactive,0.28,0.29,0,0.05,0.62,67,20,4.6,274,Hangar 13,M,46
Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,75,23,7.6,259,PopCap,E10+,76
Tomb Raider (2013),Xbox One,2014,Action,Square Enix,0.35,0.21,0,0.05,0.61,,,,,,, 
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.21,0.23,0.08,0.09,0.6,,,,,,, 
Kinect Sports Rivals,Xbox One,2014,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60,53,5.1,144,Microsoft Game Studios,E10+,51
Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.33,0.22,0,0.05,0.6,71,10,7.6,58,Avalanche Software,E10+,76
LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0,0.09,0.6,72,47,6.6,88,TT Games,E10+,66
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.17,0.34,0,0.09,0.6,69,50,6.9,88,Yuke's,T,69
Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.31,0.23,0,0.05,0.6,72,13,7.6,45,Ubisoft,E10+,76
NHL 15,PS4,2014,Sports,Electronic Arts,0.31,0.19,0,0.1,0.6,60,28,3.6,306,EA Sports,E10+,36
WWE 2K16,Xbox One,2015,Sports,Take-Two Interactive,0.32,0.22,0,0.05,0.59,72,18,5.7,75,Yuke's,T,57
Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.38,0.15,0,0.05,0.58,89,7,6,96,Vicarious Visions,E10+,60
Titanfall 2,Xbox One,2016,Shooter,Electronic Arts,0.37,0.15,0,0.05,0.57,87,31,8,261,Respawn Entertainment,M,80
WWE 2K15,Xbox One,2014,Sports,Take-Two Interactive,0.29,0.23,0,0.05,0.57,56,25,5.7,63,Yuke's,T,57
Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.27,0.25,0,0.05,0.57,73,7,6.9,11,Ubisoft,E10+,69
Minecraft: Story Mode,Xbox One,2015,Adventure,Mojang,0.3,0.21,0,0.05,0.56,,,,,,, 
Quantum Break,Xbox One,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,77,106,6.8,1659,Remedy Entertainment,M,68
Guitar Hero Live,Xbox One,2015,Misc,Activision,0.3,0.2,0,0.05,0.55,81,21,5.1,69,FreeStyleGames,T,51
Resident Evil: Revelations 2,PS4,2015,Action,Capcom,0.13,0.24,0.1,0.07,0.55,75,30,7.7,284,Capcom,M,77
The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,0.2,0.25,0.02,0.09,0.55,,,,,,, 
LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.3,0.18,0,0.05,0.53,62,5,6.5,29,Traveller's Tales,E10+,65
Just Dance 2015,Xbox One,2014,Misc,Ubisoft,0.35,0.13,0,0.05,0.53,70,17,7.5,20,Ubisoft,E10+,75
The LEGO Movie Videogame,Xbox One,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.13,0,0.05,0.53,69,18,6.9,49,TT Games,E10+,69
LEGO Jurassic World,WiiU,2015,Action,Warner Bros. Interactive Entertainment,0.27,0.19,0.02,0.04,0.52,71,5,8.1,14,TT Games,E10+,81
Rory McIlroy PGA Tour,PS4,2015,Action,Electronic Arts,0.18,0.25,0,0.08,0.52,61,33,3.7,78,EA Tiburon,E,37
Lords of the Fallen,PS4,2014,Role-Playing,Square Enix,0.18,0.24,0.02,0.08,0.52,68,45,6.6,425,"City Interactive, Deck 13",M,66
Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo,0.22,0.13,0.12,0.04,0.52,73,72,8,227,HAL Labs,E,80
Sonic & All-Stars Racing Transformed,WiiU,2012,Racing,Sega,0.19,0.26,0.02,0.04,0.51,,,,,,, 
Alien: Isolation,Xbox One,2014,Shooter,Sega,0.22,0.24,0,0.04,0.51,78,24,7.8,314,Creative Assembly,M,78
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.2,0.21,0,0.08,0.49,81,29,7.7,111,PopCap,E10+,77
Mad Max (2015),Xbox One,2015,Action,Warner Bros. Interactive Entertainment,0.28,0.16,0,0.04,0.48,,,,,,, 
Skylanders: SuperChargers,WiiU,2015,Action,Activision,0.25,0.19,0,0.04,0.48,87,13,5.6,65,Vicarious Visions,E10+,56
Plants vs. Zombies: Garden Warfare 2,Xbox One,2016,Shooter,Electronic Arts,0.29,0.15,0,0.04,0.48,80,64,8.1,79,PopCap,E10+,81
NHL 16,Xbox One,2015,Sports,Electronic Arts,0.38,0.05,0,0.05,0.48,80,18,6,81,"EA Sports, EA Canada",E10+,60
Rock Band 4,Xbox One,2015,Misc,Harmonix Music Systems,0.38,0.04,0,0.05,0.47,79,27,6.4,54,Harmonix Music Systems,T,64
FIFA Soccer 13,WiiU,2012,Action,Electronic Arts,0.17,0.27,0,0.04,0.47,69,28,6.2,49,Electronic Arts,E,62
EA Sports UFC,Xbox One,2014,Sports,Electronic Arts,0.3,0.12,0,0.04,0.47,70,23,6.3,152,EA Sports,T,63
One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.09,0.22,0.1,0.06,0.46,74,34,7.4,118,Omega Force,T,74
Thief (2014),Xbox One,2014,Action,Square Enix,0.26,0.15,0,0.04,0.46,,,,,,, 
The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.02,0.07,0.46,,,,,,, 
Disney Infinity 3.0,WiiU,2015,Action,Disney Interactive Studios,0.21,0.21,0,0.04,0.46,,,,,,, 
Just Dance 2014,Xbox One,2013,Misc,Ubisoft,0.3,0.11,0,0.04,0.45,71,6,7,58,Ubisoft,E10+,70
Lego Batman 3: Beyond Gotham,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.21,0,0.04,0.45,,,7,20,TT Games,E10+,70
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45,85,61,7.6,478,Konami,E,76
Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo,0.13,0.15,0.14,0.02,0.44,58,58,5.3,133,"Nintendo, Camelot Software Planning",E,53
Skylanders: Trap Team,PS4,2014,Action,Activision,0.19,0.18,0,0.07,0.44,78,46,5.6,32,Toys for Bob,E10+,56
Disney Infinity 2.0: Marvel Super Heroes,Xbox One,2014,Action,Disney Interactive Studios,0.25,0.15,0,0.04,0.44,,,,,,, 
Borderlands: The Handsome Collection,Xbox One,2015,Shooter,Take-Two Interactive,0.26,0.13,0,0.04,0.43,80,11,7.8,119,Gearbox Software,M,78
Sleeping Dogs,PS4,2014,Action,Square Enix,0.16,0.2,0,0.07,0.43,,,,,,, 
Lego Batman 3: Beyond Gotham,Xbox One,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0,0.04,0.43,74,25,7.1,36,TT Games,E10+,71
Wolfenstein: The Old Blood,PS4,2015,Action,Bethesda Softworks,0.1,0.25,0.02,0.06,0.43,76,54,8,267,MachineGames,,80
Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.22,0.01,0.07,0.42,79,51,7.2,244,RedLynx,E10+,72
Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,0.42,75,72,6.8,208,"Nintendo, Intelligent Systems",E,68
Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46,20,4.4,173,"Nintendo, Nd Cube",E,44
Just Dance 2014,PS4,2013,Misc,Ubisoft,0.19,0.16,0,0.07,0.41,75,4,5.5,51,Ubisoft,E10+,55
EA Sports UFC 2,Xbox One,2016,Sports,Electronic Arts,0.24,0.14,0,0.04,0.41,76,42,6,77,EA Sports,T,60
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.05,0.31,0,0.06,0.41,69,17,8.7,12,Maximum Games,E,87
LEGO Dimensions,Xbox One,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.15,0,0.04,0.41,80,12,6.9,27,Traveller's Tales,E10+,69
NHL 15,Xbox One,2014,Sports,Electronic Arts,0.31,0.06,0,0.04,0.41,59,22,3.2,180,EA Sports,E10+,32
Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,0.2,0.18,0,0.03,0.41,81,31,6.9,228,Treyarch,M,69
Rocksmith 2014,Xbox One,2014,Misc,Ubisoft,0.29,0.08,0,0.04,0.41,,,,,,, 
Dragon Quest X,WiiU,2013,Role-Playing,Square Enix,0,0,0.41,0,0.41,,,,,Square Enix,, 
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.04,0.11,0.22,0.03,0.4,,,,,,, 
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games,0.17,0.15,0.02,0.06,0.4,72,59,6.8,315,Bandai Namco Games,T,68
Life is Strange,PS4,2016,Adventure,Square Enix,0.15,0.15,0.03,0.06,0.4,85,23,8.6,672,DONTNOD Entertainment,M,86
The Wonderful 101,WiiU,2013,Action,Nintendo,0.19,0.1,0.08,0.03,0.4,78,75,8.5,495,PlatinumGames,T,85
Saints Row IV,PS4,2015,Action,Deep Silver,0.13,0.18,0.03,0.06,0.39,,,,,,, 
Dishonored,PS4,2015,Action,Bethesda Softworks,0.12,0.2,0.02,0.06,0.39,,,,,,, 
Dark Souls III,Xbox One,2016,Role-Playing,Namco Bandai Games,0.26,0.09,0,0.04,0.39,87,14,8.6,514,From Software,,86
Until Dawn: Rush of Blood,PS4,2016,Adventure,Sony Computer Entertainment,0.18,0.15,0,0.07,0.39,72,49,8,68,SuperMassive Games,M,80
Sonic Lost World,WiiU,2013,Platform,Sega,0.23,0.12,0.01,0.03,0.39,63,64,7.3,461,Sonic Team,E10+,73
Skylanders SWAP Force,PS4,2013,Platform,Activision,0.2,0.12,0,0.06,0.39,79,7,5.2,45,Vicarious Visions,E10+,52
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.03,0.29,0.01,0.05,0.39,,,,,,, 
Just Dance 2015,PS4,2014,Misc,Ubisoft,0.19,0.13,0,0.07,0.39,72,8,5.8,32,Ubisoft,E10+,58
Rock Band 4,PS4,2015,Misc,Harmonix Music Systems,0.26,0.05,0,0.07,0.38,78,51,6.3,87,Harmonix Music Systems,T,63
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,0.11,0.21,0,0.06,0.38,84,59,7.6,511,Eidos Montreal,M,76
Wii Sports Club,WiiU,2014,Sports,Nintendo,0.17,0.14,0.04,0.03,0.38,68,21,7,106,Nintendo,E10+,70
Skylanders Giants,WiiU,2012,Action,Activision,0.22,0.12,0,0.03,0.37,80,8,6.9,22,Vicarious Visions,E10+,69
Resident Evil Zero,PS4,2016,Action,Capcom,0.1,0.17,0.05,0.05,0.37,,,,,,, 
Persona 5,PS4,2016,Role-Playing,Atlus,0,0,0.37,0,0.37,,,,,Atlus,, 
Just Dance 4,WiiU,2012,Misc,Ubisoft,0.21,0.13,0,0.03,0.37,66,14,7.8,37,Ubisoft Paris,E10+,78
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06,0.37,84,39,8.5,210,2K Games,M,85
Rocket League,PS4,2016,Sports,505 Games,0.03,0.28,0,0.05,0.37,85,50,8.7,1290,Psyonix,E,87
DiRT Rally,PS4,2016,Racing,Codemasters,0.04,0.27,0,0.05,0.37,85,46,8.1,196,Codemasters,E,81
Skylanders: Trap Team,Xbox One,2014,Action,Activision,0.26,0.07,0,0.04,0.37,,,,,,, 
Scribblenauts: Unlimited,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.25,0.09,0,0.03,0.37,73,42,7.4,109,5TH Cell,E10+,74
